indicator_id,name,kinedu_category,general_category_MF,specific_category_MF,spanish,general_category,specific_category,cdc_months,cdc_wording,cdc_category,WHO_months_50th_pcntl,WHO_CI_lower,WHO_CI_upper,WHO_milestone
63,Observes closely how you do things,adaptative,social and emotional,attention,Observa atentamente las acciones que haces ,social and emotional,attention,,,,,,,
76,Stares into eyes,gaze,social and emotional,attention,Mira a los ojos ,social and emotional,attention,,,,,,,
26,Stares at the person that speaks to him/her,communication abilities,social and emotional,attention,Dirige su mirada hacia la persona que le habla,social and emotional,attention,,,,,,,
546,Pays attention to the person who is speaking,NA,social and emotional,attention,Presta atenciê_n a la persona que habla durante una conversaciê_n,social and emotional,attention,,,,,,,
323,"Shows interest, joy, or objection towards new experiences",NA,social and emotional,emotional,"Ante nuevas experiencias muestra interê©s, placer, protesta y cariê±o",social and emotional,emotional,,,,,,,
45,Gesticulates and vocalizes wants and needs,social and emotional,social and emotional,emotional,Gesticula y vocaliza sus deseos y necesidades,social and emotional,emotional,,,,,,,
60,Interacts with people,social and emotional,social and emotional,emotional,Interactña con la gente,social and emotional,emotional,,,,,,,
78,Demonstrates anger when his/her activities are interrupted,social and emotional,social and emotional,emotional,Muestra enojo cuando interrumpen sus actividades,social and emotional,emotional,,,,,,,
204,"Is affectionate with toys, animals and other kids",social and emotional,social and emotional,emotional,"Es cariê±oso con juguetes, animales y otros niê±os",social and emotional,emotional,,,,,,,
380,Shows adults his/her toys,NA,social and emotional,play,Muestra sus juguetes a los adultos ,social and emotional,play,,,,,,,
552,Begins a conversation with kids his/her age,NA,social and emotional,play,Comienza a establecer un diêçlogo con niê±os de su edad,social and emotional,play,,,,,,,
454,Interacts with kids his/her age and lends his/her toys,NA,social and emotional,play,Interactê_a con niê±os de su edad y ofrece sus juguetes,social and emotional,play,,,,,,,
97,Recognizes his/her parents,recognize,social and emotional,recognition,Reconoce a sus padres,social and emotional,recognition,,,,,,,
99,Recognizes the ability of his/her hands to grab objects (starts grabbing objects intentionally),recognize,social and emotional,recognition,Reconoce la habilidad de sus manos de tomar objetos (comienza a tomar objetos intencionalmente),social and emotional,recognition,,,,,,,
102,Shows interest in familiar objects,recognize,social and emotional,recognition,Muestra interê©s hacia objectos conocidos,social and emotional,recognition,,,,,,,
120,Recognizes him/herself in a mirror,recognize,social and emotional,recognition,Se reconoce a sê mismo en un espejo,social and emotional,recognition,,,,,,,
252,Recognizes a person and talks to him/her,recognize,social and emotional,recognition,Reconoce a una persona y le habla,social and emotional,recognition,,,,,,,
110,Walks or crawls towards you when his/her name is called,cognitive,social and emotional,recognition,Se acerca a ti cuando lo llamas por su nombre,social and emotional,recognition,,,,,,,
435,Identifies family members by naming or pointing at them ,NA,social and emotional,recognition,Identifica nombrando o seê±alando a los miembros de su familia,social and emotional,recognition,,,,,,,
441,Associates objects to the family members that use them,NA,social and emotional,recognition,Asocia objetos con los miembros de su familia que los utilizan,social and emotional,recognition,,,,,,,
112,"Laughs, shrieks and takes the initiative to vocalize",smile,social and emotional,smiling,"Rê_e, grita y toma la iniciativa para vocalizar",social and emotional,smiling,,,,,,,
127,Smiles at family members,smile,social and emotional,smiling,Sonrê_e a miembros de la familia,social and emotional,smiling,,,,,,,
286,Smiles by instinct when caressed,smile,social and emotional,smiling,Sonrê_e por instinto ante una caricia,social and emotional,smiling,,,,,,,
241,Participates in daily activities like putting away his/her toys,adaptative,social and emotional,social routines,Participa en actividades cotidianas como al guardar sus juguetes,social and emotional,social routines,,,,,,,
174,Begins to use objects to attract others,cognitive,social and emotional,social routines,Comienza a utilizar objetos para atraer otros,social and emotional,social routines,,,,,,,
20,"Stretches his/her arms to be carried, when he/she likes someone",social and emotional,social and emotional,social routines,Estira los brazos para que lo carguen cuando alguien le agrada,social and emotional,social routines,,,,,,,
190,Enjoys bath time; keeps eyes open and demonstrates satisfaction when feeling the warm water,social and emotional,social and emotional,social routines,Disfruta el baê±o; mantiene los ojos abiertos y muestra satisfacciê_n al sentir el agua tibia,social and emotional,social routines,,,,,,,
