indicator_id,name,kinedu_category,general_category_MF,specific_category_MF,spanish,general_category,specific_category,cdc_months,cdc_wording,cdc_category,WHO_months_50th_pcntl,WHO_CI_lower,WHO_CI_upper,WHO_milestone
321,Follows instructions during playtime,NA,language and communication,comprehension, Sigue instrucciones mientras juega,language and communication,comprehension,24,Follows simple instructions,lang/comm,,,,
446,Points at and names different body parts,NA,language and communication,production,Seê±ala y nombra las partes del cuerpo,language and communication,production,24,Knows names of familiar people and body parts,lang/comm,,,,
419,Combines words to form short phrases,NA,language and communication,production,Combina palabras para crear frases cortas,language and communication,production,24,Says sentences with 2 to 4 words,lang/comm,,,,
123,Is able to climb most pieces of furniture in the house,standing,locomotor,standing,Puede treparse en la mayorê_a de los muebles de la casa,locomotor,standing,24,Climbs onto and down from furniture without help,movement,,,,
528,Coordinately kicks a ball,NA,locomotor,play,Patea pelotas coordinadamente,locomotor,coordination,24,Kicks a ball,movement,,,,
516,Starts to make horizontal strokes while drawing or painting ,NA,cognition,creativity,Comienza a hacer trazos horizontales,locomotor,fine motor control,24,Makes or copies straight lines and circles,movement,,,,
519,Starts to make circular strokes while drawing or painting ,NA,cognition,creativity,Comienza a hacer trazos circulares,locomotor,fine motor control,24,Makes or copies straight lines and circles,movement,,,,
456,Throws a ball,NA,locomotor,play,Lanza pelotas,locomotor,coordination,24,Throws ball overhand,movement,,,,
471,"Walks up and down stairs with help, resting both feet on each step",NA,locomotor,stairs,Sube y baja una escalera con ayuda y descansando ambos pies en cada escalê_n,locomotor,stairs,24,Walks up and down stairs holding on,movement,,,,
551,Imitates children his/her age or older,NA,social and emotional,play,Imita a niê±os de su edad o mêçs grandes,social and emotional,play,24,"Copies others, especially adults and older children",soc,,,,
485,Plays with peers or adults,NA,social and emotional,play,Juega con pares o adultos,social and emotional,play,24,"Plays mainly beside other children, but is beginning to include other children, such as in chase games",soc,,,,
461,Shows first signs of independence while playing and exploring,NA,social and emotional,attachment,Muestra primeros indicios de independencia al jugar y explorar,social and emotional,attachment,24,Shows more and more independence,soc,,,,
9,"Lying face down, supports weight on open hands with extended arms",position,locomotor,early body posture,"Boca abajo, se apoya en sus manos abiertas con los brazos extendidos",locomotor,early body posture,,,,,,,
233,Is able to maintain his/her head held up,head,locomotor,head,Mantiene la cabeza erguida,locomotor,head,,,,,,,
347,Imitates mouth movements intentionally,NA,play,imitation,Imita movimientos con la boca intencionalmente,cognitive,imitation,,,,,,,
269,Stretches out to reach something,grasp objects,play,objects,Se estira para alcanzar algo ,locomotor,coordination,,,,,,,
256,Responds to a smiling adult with a smile ,smile,social and emotional,smiling,Responde con una sonrisa a un adulto sonriente,social and emotional,smiling,,,,,,,
197,Emits vowel sounds,talk,language and communication,babbling,Emite sonidos de vocales,language and communication,babbling,,,,,,,
276,Sits up with help,sit,locomotor,sitting,Se sienta con apoyo,locomotor,sitting,,,,,,,
130,"Supports his/her own weight when held up, with his/her feet on a surface",standing,locomotor,standing,"Soporta su propio peso cuando se le sostiene en posiciê_n vertical, con los pies apoyados sobre una superficie",locomotor,standing,,,,,,,
317,Finds objects hidden in a box or under a fabric,NA,cognition,physical understanding,"Encuentra objetos escondidos en una caja, bajo una tela o lienzo ",cognition,abstract/conceptual reasoning,,,,,,,
12,Searches for hidden toys,search,cognition,physical understanding,Busca juguetes escondidos ,cognition,abstract/conceptual reasoning,,,,,,,
121,Sits with help and maintains his/her torso firm,sit,locomotor,sitting,Se sienta con apoyo y mantiene el tronco firme ,locomotor,sitting,,,,,,,
106,"Associates movements with actions (e.g. knows that if he/she pushes an object, it moves)",asociate,cognition,physical understanding,"Relaciona movimientos con acciones (por Ej. Al empujar un objeto, sabe que ê©ste se moverêç)",cognition,abstract/conceptual reasoning,,,,,,,
279,Points out the different things that are requested,point out,language and communication,communication,Se_ala los diversos objetos que se le pidan,language and communication,communication,,,,,,,
27,Turns towards known objects or people when they are named,communication abilities,language and communication,comprehension,Dirige su mirada hacia objetos o personas conocidas cuando le son nombrados,language and communication,comprehension,,,,,,,
389,Shows interest towards his/her toys,NA,play,toy play,Muestra interê©s por sus juguetes,cognitive,creativity,,,,,,,
469,Repeats the name of different body parts when they are mentioned,NA,language and communication,production,Repite el nombre de partes del cuerpo cuando se le mencionan,language and communication,production,,,,,,,
504,Uses different decorating tools,NA,cognition,creativity, Utiliza diferentes instrumentos para decorar ,cognition,creativity,,,,,,,
515,Expresses his/her creativity through drawings,NA,cognition,creativity,Expresa su creatividad por medio de dibujos,cognition,creativity,,,,,,,
517,Starts to make half-circle strokes while drawing or painting ,NA,cognition,creativity,Comienza a hacer trazos de medio cê_rculo,locomotor,fine motor control,,,,,,,
518,Starts to make vertical strokes while drawing or painting ,NA,cognition,creativity,Comienza a hacer trazos verticales,locomotor,fine motor control,,,,,,,
531,Uses different materials to assemble ,NA,cognition,creativity,Manipula distintos materiales de ensamble,cognition,creativity,,,,,,,
532,Molds clay to form simple figures with help,NA,cognition,creativity,Moldea plastilina o masas con ayuda para formar figuras sencillas.,locomotor,fine motor control,,,,,,,
561,"Colors, moving his/her hands up and down",NA,cognition,creativity,"Colorea, siguiendo un patrê_n de arriba-abajo ",cognition,creativity,,,,,,,
322,Begins to accept the established limits,NA,cognition,executive function,Comienza aceptar lê_mites que se le marcan ,cognition,executive function,,,,,,,
455,Begins to follow instructions while playing,NA,cognition,executive function,Comienza a seguir instrucciones al jugar,cognition,executive function,,,,,,,
547,Keeps practicing an activity until he/she is successful,NA,cognition,executive function,Practica una actividad muchas veces hasta tener ê©xito,cognition,executive function,,,,,,,
52,Identifies instrument sounds,sound,cognition,knowledge,Identifica el sonido de los instrumentos,cognition,knowledge,,,,,,,
474,Identifies differences and similarities in a group of objects and shapes (e.g. knows that a ball and a circle are similar),NA,cognition,knowledge,Identifica caracterê_sticas similares y diferentes en un grupo de objetos y figuras (por Ej. sabe que una pelota y un cê_rculo son similares),cognition,abstract/conceptual reasoning,,,,,,,
482,Identifies the images that are mentioned,NA,cognition,knowledge,Identifica las imêçgenes que le son mencionadas,cognition,knowledge,,,,,,,
483,Identifies characteristics of places when seen in pictures,NA,cognition,knowledge,Identifica caracterê_sticas de lugares cuando los observa en imêçgenes,cognition,knowledge,,,,,,,
506,Knows two or more of the five senses,NA,cognition,knowledge,Conoce los dos o mêçs sentidos,cognition,knowledge,,,,,,,
509,Describes a boy and a girl in an image,NA,cognition,knowledge,Describe un niê±o y una niê±a en un dibujo,cognition,knowledge,,,,,,,
511,Describes garments by their function,NA,cognition,knowledge,Describe las prendas de vestir por su funciê_n,cognition,knowledge,,,,,,,
512,Describes the objects that are indicated,NA,cognition,knowledge,Describe los objetos que se le indican,cognition,knowledge,,,,,,,
513,Distinguishes the square from the circle,NA,cognition,knowledge,Diferencê_a el cuadrado del cê_rculo,cognition,knowledge,,,,,,,
520,Identifies the daily activities of family members,NA,cognition,knowledge,Identifica actividades cotidianas de los miembros de la familia,cognition,knowledge,,,,,,,
525,Identifies sleepwear,NA,cognition,knowledge,Identifica la ropa para dormir,cognition,knowledge,,,,,,,
526,Identifies clothing by the weather it is worn in,NA,cognition,knowledge,Identifica la ropa segê_n el clima en la que se usa,cognition,knowledge,,,,,,,
527,"Verbally expresses the characteristics of objects, animals or people",NA,cognition,knowledge,"Expresa verbalmente caracterê_sticas de objetos, animales o personas",cognition,knowledge,,,,,,,
539,Touches his/her face and names the different parts with his/her eyes shut,NA,cognition,knowledge,"Con los ojos cerrados, toca partes de su cara y las nombra",cognition,knowledge,,,,,,,
549,Begins to understand what his/her ears are for,NA,cognition,knowledge,Comienza a entender la funciê_n de sus oê_dos,cognition,knowledge,,,,,,,
559,Traces previously marked lines with his/her finger,NA,cognition,knowledge,Sigue con su dedo trazos marcados previamente,cognition,knowledge,,,,,,,
560,Identifies objects in the shape of a circle,NA,cognition,knowledge,Identifica figuras en forma de cê_rculo,cognition,knowledge,,,,,,,
562,Uses brushes to trace previously marked lines,NA,cognition,knowledge,Utiliza brochas para realizar trazos marcados,locomotor,fine motor control,,,,,,,
563,Distinguishes between clean and untidy places,NA,cognition,knowledge,Distingue entre lugares sucios y limpios,cognition,knowledge,,,,,,,
564,Answers questions about an image,NA,cognition,knowledge,Es capaz de responder preguntas en torno a una imagen,cognition,knowledge,,,,,,,
565,Knows what different cleaning utensils are for,NA,cognition,knowledge,Identifica el uso de diferentes utensilios de limpieza,cognition,knowledge,,,,,,,
566,Answers questions about a story,NA,cognition,knowledge,Es capaz de responder preguntas en torno a un cuento,cognition,knowledge,,,,,,,
567,Follows instructions and has greater control over his/her impulses,NA,cognition,knowledge,Sigue instrucciones y tiene mayor control sobre sus impulsos,cognition,executive function,,,,,,,
568,Identifies the tools used by public servants,NA,cognition,knowledge,Identifica las herramientas de los servidores pê_blicos,cognition,knowledge,,,,,,,
569,Identifies and makes loud and soft noises,NA,cognition,knowledge,Identifica y realiza sonidos fuertes y suaves,cognition,knowledge,,,,,,,
570,Points at a specific geometric shape when asked to do so,NA,cognition,knowledge,Seê±ala la figura geomê©trica que se le indica,cognition,knowledge,,,,,,,
571,"Describes public servants (e.g. cops, firemen, etc.)",NA,cognition,knowledge,"Describe a los servidores pê_blicos (por Ej. policê_as, bomberos, etc.)",cognition,knowledge,,,,,,,
572,Recognizes and identifies sounds by naming them,NA,cognition,knowledge,"Reconoce e identifica sonidos, nombrêçndolos",cognition,knowledge,,,,,,,
573,Names more than three body parts when the five senses are explained,NA,cognition,knowledge,Nombra mêçs de tres partes del cuerpo cuando se le explican los cinco sentidos,cognition,knowledge,,,,,,,
574,Begins to understand the function of three or more body parts,NA,cognition,knowledge,Comienza a entender las funciones de tres o mêçs partes del cuerpo,cognition,knowledge,,,,,,,
578,Recognizes that plants are living things,NA,cognition,knowledge,Reconoce que las plantas son seres vivos,cognition,abstract/conceptual reasoning,,,,,,,
579,Recognizes public servants,NA,cognition,knowledge,Reconoce servidores pê_blicos,cognition,knowledge,,,,,,,
580,Understands that the same object may be used in different ways,NA,cognition,knowledge,Comprende que los objetos se pueden usar de distintas maneras,cognition,abstract/conceptual reasoning,,,,,,,
581,Identifies and names geometric shapes from an image,NA,cognition,knowledge,Identifica y nombra las figuras geomê©tricas al verlas en una imagen,cognition,knowledge,,,,,,,
582,"Identifies objects in the shape of a circle, square or triangle",NA,cognition,knowledge,"Identifica objetos con forma de cê_rculo, cuadrado o triêçngulo",cognition,knowledge,,,,,,,
493,Names all the primary colors,NA,cognition,knowledge,Nombra todos los colores primarios ,cognition,knowledge,,,,,,,
494,Tries to name a color when asked to do so,NA,cognition,knowledge,Intenta nombrar un color cuando se le pregunta cuêçl es ,cognition,knowledge,,,,,,,
495,Names the color green when prompted,NA,cognition,knowledge,Nombra el color verde cuando se le indica ,cognition,knowledge,,,,,,,
496,Names the color red when prompted,NA,cognition,knowledge,Nombra el color rojo cuando se le indica,cognition,knowledge,,,,,,,
497,Names the color yellow when prompted,NA,cognition,knowledge,Nombra el color amarillo cuando se le indica ,cognition,knowledge,,,,,,,
498,Names the color blue when prompted,NA,cognition,knowledge,Nombra el color azul cuando se le indica ,cognition,knowledge,,,,,,,
553,Begins to identify him/herself with his/her gender through toys and other objects,NA,cognition,knowledge,Comienza a identificarse con su gê©nero a travê©s de juguetes y objetos,cognition,knowledge,,,,,,,
554,Begins to understand what the nose is for,NA,cognition,knowledge,Comienza a entender la funciê_n de la nariz,cognition,knowledge,,,,,,,
555,Begins to understand what his/her hands are for,NA,cognition,knowledge,Comienza a entender las funciones de sus manos,cognition,knowledge,,,,,,,
557,Begins to understand what his/her mouth is for,NA,cognition,knowledge,Comienza a entender la funciê_n de la boca,cognition,knowledge,,,,,,,
449,Identifies musical instruments from an image when asked to do so,NA,cognition,knowledge,Identifica instrumentos musicales plasmados en imêçgenes cuando se le seê±alan,cognition,knowledge,,,,,,,
451,Identifies feelings displayed in images,NA,cognition,knowledge,Identifica sentimientos a travê©s de imêçgenes,cognition,knowledge,,,,,,,
452,Imitates the sound of objects he/she finds in images,NA,cognition,knowledge,Imita sonidos de objetos que encuentra en imêçgenes,cognition,knowledge,,,,,,,
585,Names primary colors and some secondary as well,NA,cognition,knowledge,Nombra todos los colores primarios y algunos secundarios ,cognition,knowledge,,,,,,,
157,Associates sounds with objects,asociate,cognition,misc,Asocia sonidos con objetos,cognition,knowledge,,,,,,,
432,Matches geometric shapes,NA,cognition,misc,Empareja figuras geomê©tricas,cognition,abstract/conceptual reasoning,,,,,,,
433,Looks for and finds objects with a specific color,NA,cognition,misc, Busca y relaciona objetos con el color que se le indica,cognition,knowledge,,,,,,,
434,"Distinguishes different places (home, school, park, etc)",NA,cognition,misc,"Distingue diferentes lugares (casa, escuela, parque, etc.)",cognition,knowledge,,,,,,,
472,Has a sense of location in familiar places,NA,cognition,misc,Se ubica en el espacio en lugares conocidos,cognition,misc,,,,,,,
35,"Begins to understand cause and effect, like how bubbles disappear",asociate,cognition,physical understanding,Entiende un poco la relaciê_n causa-efecto como que las burbujas desaparecen ,cognition,abstract/conceptual reasoning,,,,,,,
105,Starts to notice that different objects can have the same shape (e.g. a ball and a circle),asociate,cognition,physical understanding,Comienza a entender que diferentes objetos pueden tener la misma forma (por Ej. una pelota y un circulo),cognition,abstract/conceptual reasoning,,,,,,,
39,Tries different heights and distances during active play,cognitive,cognition,physical understanding,Prueba diferentes alturas y distancias durante el juego activo,cognition,abstract/conceptual reasoning,,,,,,,
98,Recognizes cause and effect actions,cognitive,cognition,physical understanding,Reconoce acciones de causa y efecto,cognition,abstract/conceptual reasoning,,,,,,,
185,"Solves his/her own problems by reaching, pulling or changing the position of objects",cognitive,cognition,physical understanding,"Da soluciê_n a sus problemas alcanzando, jalando o cambiando la posiciê_n de un objeto",cognition,abstract/conceptual reasoning,,,,,,,
199,"Begins to recognize the characteristics of objects such as size, shape and texture",cognitive,cognition,physical understanding,"Empieza a reconocer las caracterêsticas de objetos como tama_o, forma, textura",cognition,abstract/conceptual reasoning,,,,,,,
331,Strategically looks for a hidden object ,NA,cognition,physical understanding, Estratê©gicamente busca un objeto escondido ,cognition,abstract/conceptual reasoning,,,,,,,
183,Searches where objects or rattles fall when they are thrown,search,cognition,physical understanding,Cuando tira una sonaja o un objeto procura ver donde cayê_,cognition,abstract/conceptual reasoning,,,,,,,
266,Realizes when objects are missing,search,cognition,physical understanding,Se da cuenta cuando los objetos desaparecen,cognition,abstract/conceptual reasoning,,,,,,,
500,Completes jigsaw puzzles of four to six pieces,NA,cognition,reasoning,Arma rompecabezas de cuatro a seis piezas,cognition,problem solving,,,,,,,
501,Completes puzzles with geometric shapes,NA,cognition,reasoning,Arma rompecabezas de figuras geomê©tricas,cognition,problem solving,,,,,,,
502,Sorts objects by their size,NA,cognition,reasoning,Clasifica objetos segê_n su tamaê±o,cognition,problem solving,,,,,,,
522,Understands the meaning of short and long,NA,cognition,reasoning,Comprende el significado de corto y largo,cognition,abstract/conceptual reasoning,,,,,,,
523,Understands the meaning of big and small,NA,cognition,reasoning,Comprende el concepto de grande y chico,cognition,abstract/conceptual reasoning,,,,,,,
524,Identifies the sequence of a short story,NA,cognition,reasoning,Identifica la secuencia de un cuento corto,cognition,misc,,,,,,,
548,"Makes simple comparisons between two objects, like identifying which one is larger",NA,cognition,reasoning,"Puede hacer comparaciones simples entre dos objetos, como identificar quê© pelota es mêçs grande",cognition,abstract/conceptual reasoning,,,,,,,
550,Sorts objects by their characteristics,NA,cognition,reasoning,Clasifica objetos segê_n sus caracterê_sticas,cognition,abstract/conceptual reasoning,,,,,,,
23,Says more continuous and better formed syllables ,talk,language and communication,babbling,Dice sêlabas m_s continuas y mejor formadas,language and communication,babbling,,,,,,,
31,"Begins to pronounce syllables (consonant with vowel ma, la, pa, da, ó)",talk,language and communication,babbling,"Empieza a pronunciar sêlabas (consonante m_s vocal ""ma, la, pa, da, ó"")",language and communication,babbling,,,,,,,
56,Begins babbling and attempting to form syllables,talk,language and communication,babbling,Inicia el balbuceo intentando formar sêlabas,language and communication,babbling,,,,,,,
143,Vocalizes as a response towards a voice,talk,language and communication,babbling,Vocaliza como respuesta al escuchar una voz,language and communication,babbling,,,,,,,
187,"Says disyllables (da-da, ba-ba)",talk,language and communication,babbling,"Dice disêlabos (da-da, ba-ba)",language and communication,babbling,,,,,,,
247,"Produces guttural sounds like ga, gu, gr",talk,language and communication,babbling,"Produce sonidos guturales como ""ag"", ""ug"", ""gr""",language and communication,babbling,,,,,,,
248,"Produces guttural and vowel sounds ga, gu, ma",talk,language and communication,babbling,"Produce sonidos guturales y vocales como ""ag"", ""gu"", ""ba""",language and communication,babbling,,,,,,,
249,Pronounces disyllabic words such as mama or papa,talk,language and communication,babbling,"Pronuncia palabras de dos sêlabas como ""mam_"" o ""pap_""",language and communication,babbling,,,,,,,
88,Asks for help,adaptative,language and communication,communication,Pide ayuda,language and communication,communication,,,,,,,
246,Asks for objects that he/she wants to reach,adaptative,language and communication,communication,Pide objetos que quiere alcanzar ,language and communication,communication,,,,,,,
8,"Associates characteristics to a person, animal or thing (e.g. the cat meows)",asociate,language and communication,communication,"Asocia caracterê_sticas con una persona, animal o cosa (por Ej. El gato maê_lla)",cognition,knowledge,,,,,,,
51,Reacts to different voice tones,communication abilities,language and communication,communication,Reacciona ante diferentes tonos de voz,language and communication,communication,,,,,,,
333,Listens closely when he/she is spoken to,NA,language and communication,communication,Escucha atento al hablarle,language and communication,communication,,,,,,,
379,"Uses gestures and vocalizations to argue, joke and inform",NA,language and communication,communication,"Utiliza gestos y vocalizaciones para reê±ir, bromear y avisar",language and communication,communication,,,,,,,
219,Points and tries to say something in order to obtain an object he/she wants,point out,language and communication,communication,Indica e intenta decir algo para obtener el objeto que desea,language and communication,communication,,,,,,,
126,Socializes and interacts with other kids through smiles and babbling,talk,language and communication,communication,Socializa e interactña con otros ni_os a trav_s de sonrisas y balbuceos,language and communication,communication,,,,,,,
544,Makes simple statements about recent events and about persons and objects that are not present,NA,language and communication,communication,Hace enunciados simples sobre acontecimientos recientes y sobre personas y objetos que no estêçn presentes,language and communication,communication,,,,,,,
90,Pays greater attention to conversations and songs,cognitive,language and communication,comprehension,Pone mayor atenciÜn a conversaciones y canciones,language and communication,comprehension,,,,,,,
109,"Responds to three words such as look, the dog",communication abilities,language and communication,comprehension,"Responde conscientemente a tres palabras como ""mira el perro""",language and communication,comprehension,,,,,,,
313,Identifies characters by pointing after reading a story,NA,language and communication,comprehension,Identifica personajes despuê©s de leer un cuento. ,language and communication,comprehension,,,,,,,
342,Identifies three or more parts of his/her face by pointing,NA,language and communication,comprehension,Identifica seê±alando tres o mêçs partes de su cara,language and communication,comprehension,,,,,,,
348,Moves his/her mouth and face when prompted,NA,language and communication,comprehension,Realiza ejercicios bucofaciales cuando se le indica,language and communication,comprehension,,,,,,,
352,Identifies by naming or pointing at musical instruments,NA,language and communication,comprehension,Identifica nombrando o seê±alando instrumentos musicales,language and communication,comprehension,,,,,,,
360,Points to Mom and Dad,NA,language and communication,comprehension,"Puede seê±alar quiê©nes son ""papêç"" y ""mamêç""",language and communication,comprehension,,,,,,,
363,Makes movements with his/her hands when prompted,NA,language and communication,comprehension,Hace movimientos con las manos cuando se le indica,language and communication,comprehension,,,,,,,
366,Associates the sound emitted by an animal with its image,NA,language and communication,comprehension,Relaciona el sonido que emite un animal con su imagen,language and communication,comprehension,,,,,,,
368,Responds to simple and short questions (e.g. how old are you?),NA,language and communication,comprehension,"Responde a preguntas simples y cortas (por Ej.""Ôècuêçntos aê±os tienes?"")",language and communication,comprehension,,,,,,,
385,Understands the concepts of up and down,NA,language and communication,comprehension,Reconoce los conceptos de arriba y abajo,cognition,abstract/conceptual reasoning,,,,,,,
386,Understands the concepts of front and back,NA,language and communication,comprehension,Reconoce los conceptos de adelante y atrêçs,cognition,abstract/conceptual reasoning,,,,,,,
387,Understands the concepts of outside and inside,NA,language and communication,comprehension,Reconoce los conceptos de adentro y afuera,cognition,abstract/conceptual reasoning,,,,,,,
401,"Understands the concepts of up, in front, inside, and their antonyms",NA,language and communication,comprehension,"Reconoce los conceptos de arriba, adelante, adentro y sus antê_nimos",cognition,abstract/conceptual reasoning,,,,,,,
404,"Distinguishes between up, inside, and their antonyms",NA,language and communication,comprehension,"Distingue entre los conceptos de arriba, adentro y sus antê_nimos",cognition,abstract/conceptual reasoning,,,,,,,
420,Understands short stories,NA,language and communication,comprehension,Comprende cuentos cortos,language and communication,comprehension,,,,,,,
424,Says mom and dad accordingly,NA,language and communication,comprehension,"Dice _ã""mamêç_ãù y _ã""papêç_ãù discriminadamente",language and communication,communication,,,,,,,
428,"Identifies the circle, triangle, and square",NA,language and communication,comprehension,"Identifica el cê_rculo, el triêçngulo y el cuadrado",cognition,knowledge,,,,,,,
429,Identifies the circle,NA,language and communication,comprehension,Identifica el cê_rculo,cognition,knowledge,,,,,,,
430,Identifies the triangle,NA,language and communication,comprehension,Identifica el triêçngulo,cognition,knowledge,,,,,,,
431,Identifies the square,NA,language and communication,comprehension,Identifica el cuadrado,cognition,knowledge,,,,,,,
67,Can differentiate between Yes and No,orders,language and communication,comprehension,"Logra diferenciar el ""Si"" y el ""No""",language and communication,comprehension,,,,,,,
148,Abides by certain norms (e.g. knows that paint goes on paper),orders,language and communication,comprehension,Acata ciertas normas (por Ej. sabe que la pintura va en el papel),cognition,knowledge,,,,,,,
171,Begins to understand the meaning of no,orders,language and communication,comprehension,"Comienza a entender el significado del ""No""",language and communication,comprehension,,,,,,,
177,Begins to understand what is not permitted and sometimes stops an action when asked to do so,orders,language and communication,comprehension,Comienza a comprender lo prohibido y a veces interrumpe la acciê_n si se le ordena,cognition,executive function,,,,,,,
192,Dominates simple tasks (e.g. picking up an object or putting on a hat),orders,language and communication,comprehension,Domina tareas sencillas (por Ej. recojer objetos o ponerse un gorro),cognition,misc,,,,,,,
258,Gives you a toy if you ask for it,orders,language and communication,comprehension,Sabe tender hacia ti un juguete si se lo pides,language and communication,comprehension,,,,,,,
32,Begins to associate objects with their corresponding names,asociate,language and communication,comprehension,Empieza a relacionar los objetos con sus nombres correspondientes,language and communication,comprehension,,,,,,,
69,"Identifies animal sounds, knows which animal emits which sound",asociate,language and communication,comprehension,"Logra identificar los sonidos de los animales, sabe quê© animal emite cierto sonido ",language and communication,comprehension,,,,,,,
311,Points to five body parts when asked to do so,NA,language and communication,comprehension,Seê±ala cinco partes de su cuerpo cuando se le indica,language and communication,comprehension,,,,,,,
334,Knows the meaning of the number one and uses it properly,NA,language and communication,comprehension,Sabe el significado del nê_mero uno y lo aplica adecuadamente,language and communication,comprehension,,,,,,,
335,Moves each body part when he/she is asked to do so,NA,language and communication,comprehension,Hace movimientos con las partes del cuerpo cuando se le indica,language and communication,comprehension,,,,,,,
339,Points at different types of clothes when he/she is asked to do so,NA,language and communication,comprehension,Seê±ala las diferentes prendas de vestir que se le indican,language and communication,comprehension,,,,,,,
341,Identifies by naming or pointing at his/her mouth and eyes,NA,language and communication,comprehension,Identifica nombrando o seê±alando sus ojos y su boca,language and communication,comprehension,,,,,,,
505,Approximately understands from 100 to 300 words,NA,language and communication,comprehension,Comprende aproximadamente de 100-300 palabras,language and communication,comprehension,,,,,,,
447,Understands the meaning of up and down,NA,language and communication,comprehension,Distingue entre arriba y abajo,language and communication,comprehension,,,,,,,
448,Distinguishes between outside and inside,NA,language and communication,comprehension,Distingue entre adentro y afuera,language and communication,comprehension,,,,,,,
507,Tells a story,NA,language and communication,discourse,Cuenta un cuento,language and communication,discourse,,,,,,,
508,Gives his/her point of view of an image when prompted,NA,language and communication,discourse,Da su punto de vista de una imagen cuando se le pregunta ,language and communication,discourse,,,,,,,
533,Gives his/her point of view about a story,NA,language and communication,discourse,Opina sobre el cuento que escuchê_,language and communication,discourse,,,,,,,
545,Starts brief conversations and pays attention to them,NA,language and communication,discourse,Inicia conversaciones breves y les presta atenciê_n,language and communication,discourse,,,,,,,
510,Describes images,NA,language and communication,discourse,Describe imêçgenes,language and communication,discourse,,,,,,,
343,Identifies by naming one or two parts of his/her face,NA,language and communication,production,Nombra una o dos partes de su cara,language and communication,production,,,,,,,
356,Names familiar objects,NA,language and communication,production,Nombra objetos familiares,language and communication,production,,,,,,,
370,Uses words to express him/herself,NA,language and communication,production,Utiliza palabras para expresarse,language and communication,production,,,,,,,
373,His/her vocabulary consists of approximately 50 words,NA,language and communication,production,Su vocabulario consta aproximadamente de 50 palabras,language and communication,production,,,,,,,
375,Says from four to six words with meaning,NA,language and communication,production,Dice de cuatro a seis palabras con significado,language and communication,production,,,,,,,
396,Identifies the color green when prompted,NA,language and communication,production,Identifica el color verde cuando se le indica,language and communication,production,,,,,,,
397,Identifies the color blue when prompted,NA,language and communication,production,Identifica el color azul cuando se le indica,language and communication,production,,,,,,,
398,Identifies the color red when prompted,NA,language and communication,production,Identifica el color rojo cuando se le indica,language and communication,production,,,,,,,
399,Identifies the color yellow when prompted,NA,language and communication,production,Identifica el color amarillo cuando se le indica,language and communication,production,,,,,,,
400,"Identifies primary colors when asked to do so (yellow, red, and blue)",NA,language and communication,production,"Identifica los colores primarios cuando se le indica (amarillo, rojo y azul)",language and communication,production,,,,,,,
425,Says a few words about an image,NA,language and communication,production,Dice algunas palabras sobre una imagen,language and communication,production,,,,,,,
426,Tries to say his/her name,NA,language and communication,production,Intenta decir su nombre,language and communication,production,,,,,,,
427,"Names the circle, triangle, and square",NA,language and communication,production,"Nombra el cê_rculo, el triêçngulo y el cuadrado",language and communication,production,,,,,,,
437,Names objects when asked to do so ,NA,language and communication,production,Nombra objetos cuando se le indica ,language and communication,production,,,,,,,
439,Uses ten to twenty words correctly and can even say short phrases,NA,language and communication,production,Dice de diez a veinte palabras con significado y hasta frases cortas,language and communication,production,,,,,,,
465,Asks for things by their name,NA,language and communication,production,Pide las cosas por su nombre,language and communication,production,,,,,,,
586,Pronounces the letter B when asked to do so,NA,language and communication,production,Pronuncia la letra B cuando se le indica,language and communication,production,,,,,,,
587,Begins to pronounce syllables and words with the letter B,NA,language and communication,production,Comienza a pronunciar sê_labas y palabras que tienen la letra B,language and communication,production,,,,,,,
444,Identifies food and answers when asked if he/she wants to eat it,NA,language and communication,production, Identifica alimentos y responde cuando se le pregunta si quiere comerlos,language and communication,production,,,,,,,
445,Names one or two foods,NA,language and communication,production,Nombra uno o dos alimentos,language and communication,production,,,,,,,
390,Pronounces the letter P when prompted,NA,language and communication,sounds,Pronuncia la letra P cuando se le indica,language and communication,sounds,,,,,,,
391,Begins to pronounce syllables and words with the letter P,NA,language and communication,sounds,Comienza a pronunciar sê_labas y palabras con la letra P,language and communication,sounds,,,,,,,
392,Begins to pronounce the letter L,NA,language and communication,sounds,Comienza a pronunciar la letra L,language and communication,sounds,,,,,,,
393,Pronounces the letter M when prompted,NA,language and communication,sounds,Pronuncia la letra M cuando se le indica,language and communication,sounds,,,,,,,
394,Begins to pronounce syllables and words with the letter M,NA,language and communication,sounds,Comienza a pronunciar sê_labas y palabras que tienen la letra M,language and communication,sounds,,,,,,,
395,Places his/her tongue behind his/her teeth as an attempt to pronounce the letter T,NA,language and communication,sounds,Coloca su lengua detrêçs de sus dientes intentando pronunciar la letra T,language and communication,sounds,,,,,,,
402,Begins to pronounce the letter T,NA,language and communication,sounds,Comienza a pronunciar la letra T,language and communication,sounds,,,,,,,
403,Begins to pronounce syllables and words with the letter M and P,NA,language and communication,sounds,Comienza a pronunciar sê_labas y palabras que tienen la letra M y P,language and communication,sounds,,,,,,,
405,Begins to pronounce the letter B,NA,language and communication,sounds,Comienza a pronunciar la letra B,language and communication,sounds,,,,,,,
486,Begins to pronounce syllables and words with the letter L,NA,language and communication,sounds,Comienza a pronunciar sê_labas y palabras con que tienen la letra L,language and communication,sounds,,,,,,,
